0,0,2
0,1,1
0,2,1
0,3,0
1,0,0
1,1,0
1,2,0
1,3,0
2,0,0
2,1,0
2,2,0
2,3,0
3,0,0
3,1,0
3,2,0
3,3,0
4,0,0
4,1,0
4,2,0
4,3,0
5,0,0
5,1,0
5,2,0
5,3,0
6,0,0
6,1,0
6,2,0
6,3,0
7,0,19
7,1,8
7,2,7
7,3,2
8,0,14
8,1,3
8,2,6
8,3,2
9,0,17
9,1,9
9,2,6
9,3,2
10,0,5
10,1,12
10,2,8
10,3,3
11,0,22
11,1,4
11,2,5
11,3,3
12,0,15
12,1,9
12,2,9
12,3,1
13,0,15
13,1,5
13,2,5
13,3,1
14,0,10
14,1,9
14,2,7
14,3,2
15,0,20
15,1,3
15,2,7
15,3,3
16,0,12
16,1,8
16,2,5
16,3,5
17,0,10
17,1,6
17,2,1
17,3,1
18,0,8
18,1,3
18,2,3
18,3,0
19,0,7
19,1,1
19,2,2
19,3,0
20,0,3
20,1,3
20,2,0
20,3,3
21,0,3
21,1,1
21,2,2
21,3,0
22,0,3
22,1,2
22,2,2
22,3,1
23,0,15
23,1,2
23,2,1
23,3,1
